date,price,symbol
2014-02-28,9972,BVFED
2014-03-31,9931,BVFED
2014-04-30,9701,BVFED
2014-05-31,9844,BVFED
2014-06-30,9832,BVFED
2014-07-31,10071,BVFED
2014-08-31,10554,BVFED
2014-09-30,10250,BVFED
2014-10-31,10211,BVFED
2014-11-30,9859,BVFED
2014-12-31,9761,BVFED
2015-01-08,9860,BVFED
2015-01-15,10007,BVFED
2015-01-22,9856,BVFED
2015-01-29,10089,BVFED
2015-02-05,9643,BVFED
2015-02-12,9954,BVFED
2015-02-19,10102,BVFED
2015-02-26,10149,BVFED
2015-03-05,10323,BVFED
2015-03-12,10144,BVFED
2015-03-18,9956,BVFED
2015-03-25,9719,BVFED
2015-04-02,9416,BVFED
2015-04-09,9543,BVFED
2015-04-16,9732,BVFED
2015-04-23,9719,BVFED
2015-04-30,9348,BVFED
2015-05-07,9455,BVFED
2015-05-14,9353,BVFED
2015-05-21,9418,BVFED
2015-05-28,9685,BVFED
2015-06-04,9651,BVFED
2015-06-11,9843,BVFED
2015-06-18,9887,BVFED
2015-06-25,10048,BVFED
2015-07-01,10270,BVFED
2015-07-08,10520,BVFED
2015-07-15,10589,BVFED
2015-07-22,10679,BVFED
2015-07-29,10670,BVFED
2015-08-05,10507,BVFED
2015-08-12,10546,BVFED
2015-08-20,10295,BVFED
2015-08-27,9669,BVFED
2015-09-02,9737,BVFED
2015-09-09,9759,BVFED
2015-09-16,9706,BVFED
2015-09-23,9873,BVFED
2015-09-30,9837,BVFED
2015-10-07,9948,BVFED
2015-10-14,10041,BVFED
2015-10-22,10069,BVFED
2015-10-28,10058,BVFED
2015-11-05,10135,BVFED
2015-11-12,10150,BVFED
2015-11-19,10207,BVFED
2015-11-26,10150,BVFED
2015-12-03,10039,BVFED
2015-12-10,9949,BVFED
2015-12-17,10030,BVFED
2015-12-24,9952,BVFED
2015-12-31,10020,BVFED
2016-01-07,10018,BVFED
2016-01-14,9857,BVFED
2016-01-21,9512,BVFED
2016-01-27,9676,BVFED
2016-02-03,9690,BVFED
2016-02-10,9803,BVFED
2016-02-17,9858,BVFED
2016-02-25,10025,BVFED
2016-03-03,10001,BVFED
2016-03-10,10113,BVFED
2016-03-17,10067,BVFED
2016-03-24,10030,BVFED
2016-03-31,10003,BVFED
2016-04-07,10063,BVFED
2016-04-14,10071,BVFED
2016-04-21,10045,BVFED
2016-04-28,10159,BVFED
2016-05-05,10248,BVFED
2016-05-12,10309,BVFED
2016-05-19,10460,BVFED
2016-05-25,10356,BVFED
2016-06-02,10390,BVFED
2016-06-09,10538,BVFED
2016-06-16,10579,BVFED
2016-06-23,10719,BVFED
2016-06-30,10721,BVFED
2016-07-07,10850,BVFED
2016-07-14,11148,BVFED
2016-07-21,11160,BVFED
2016-07-28,11155,BVFED
2016-08-04,10859,BVFED
2016-08-11,11053,BVFED
2016-08-18,11381,BVFED
2016-08-25,11392,BVFED
2016-08-31,11573,BVFED
2016-09-07,11434,BVFED
2016-09-15,11381,BVFED
2016-09-22,11405,BVFED
2016-09-29,11533,BVFED
2016-10-06,11533,BVFED
2016-10-13,11306,BVFED
2016-10-20,11293,BVFED
2016-10-27,11110,BVFED
2016-11-03,11206,BVFED
2016-11-10,11095,BVFED
2016-11-17,11134,BVFED
2016-11-24,11226,BVFED
2016-11-29,11153,BVFED
2016-12-08,10888,BVFED
2016-12-15,10794,BVFED
2016-12-22,10966,BVFED
2016-12-29,11039,BVFED
2017-01-05,11255,BVFED
2017-01-12,11388,BVFED
2017-01-19,11280,BVFED
2017-02-09,11596,BVFED
2017-02-16,11800,BVFED
2017-02-23,11844,BVFED
2017-03-02,11725,BVFED
2017-03-09,11920,BVFED
2017-03-16,11891,BVFED
2017-03-23,12057,BVFED
2017-03-30,12234,BVFED
2017-04-06,12250,BVFED
2017-04-20,12091,BVFED
2017-04-27,12020,BVFED
2017-05-04,12194,BVFED
2017-05-11,12337,BVFED
2017-05-18,12446,BVFED
2017-05-24,12819,BVFED
2017-06-01,12658,BVFED
2017-06-08,13088,BVFED
2017-06-15,13206,BVFED
2017-06-22,13416,BVFED
2017-06-29,13392,BVFED
