date,price,symbol
2014-01-01,8457,DCBC
2014-01-07,8548,DCBC
2014-01-14,8826,DCBC
2014-01-21,9436,DCBC
2014-02-05,9408,DCBC
2014-02-11,9327,DCBC
2014-02-18,9646,DCBC
2014-02-25,9915,DCBC
2014-03-04,9627,DCBC
2014-03-11,10056,DCBC
2014-03-18,10362,DCBC
2014-03-25,10293,DCBC
2014-04-01,10093,DCBC
2014-04-09,10503,DCBC
2014-04-15,10137,DCBC
2014-04-22,9812,DCBC
2014-05-04,9946,DCBC
2014-05-06,9502,DCBC
2014-05-13,8584,DCBC
2014-05-20,8997,DCBC
2014-05-27,9249,DCBC
2014-06-03,9318,DCBC
2014-06-10,9395,DCBC
2014-06-17,9545,DCBC
2014-06-24,9527,DCBC
2014-07-01,9704,DCBC
2014-07-08,9906,DCBC
2014-07-15,9975,DCBC
2014-07-22,10157,DCBC
2014-07-29,9946,DCBC
2014-08-05,10211,DCBC
2014-08-12,10088,DCBC
2014-08-19,10272,DCBC
2014-08-26,10807,DCBC
2014-09-02,10900,DCBC
2014-09-09,10733,DCBC
2014-09-16,10868,DCBC
2014-09-23,10541,DCBC
2014-09-30,10415,DCBC
2014-10-07,10744,DCBC
2014-10-14,10475,DCBC
2014-10-21,10274,DCBC
2014-10-28,9998,DCBC
2014-11-04,10338,DCBC
2014-11-11,10357,DCBC
2014-11-18,10131,DCBC
2014-11-25,9906,DCBC
2014-12-02,9565,DCBC
2014-12-09,9102,DCBC
2014-12-16,8875,DCBC
2014-12-23,8835,DCBC
2014-12-30,8799,DCBC
2015-01-06,9017,DCBC
2015-01-13,9245,DCBC
2015-01-20,9218,DCBC
2015-01-27,9337,DCBC
2015-02-03,9099,DCBC
2015-02-10,9244,DCBC
2015-02-23,9502,DCBC
2015-02-24,9573,DCBC
2015-03-03,9552,DCBC
2015-03-10,9530,DCBC
2015-03-17,9403,DCBC
2015-03-24,9187,DCBC
2015-03-31,8989,DCBC
2015-04-07,9006,DCBC
2015-04-14,9097,DCBC
2015-04-21,9166,DCBC
2015-05-03,9104,DCBC
2015-05-05,8978,DCBC
2015-05-12,8872,DCBC
2015-05-19,8737,DCBC
2015-05-26,9485,DCBC
2015-06-02,9539,DCBC
2015-06-09,9678,DCBC
2015-06-16,9736,DCBC
2015-06-23,9932,DCBC
2015-06-30,9961,DCBC
2015-07-07,10477,DCBC
2015-07-08,10368,DCBC
2015-07-09,10414,DCBC
2015-07-10,10471,DCBC
2015-07-13,10578,DCBC
2015-07-14,10591,DCBC
2015-07-15,10451,DCBC
2015-07-16,10429,DCBC
2015-07-17,10424,DCBC
2015-07-20,10345,DCBC
2015-07-21,10314,DCBC
2015-07-22,10536,DCBC
2015-07-23,10554,DCBC
2015-07-24,10630,DCBC
2015-07-27,10752,DCBC
2015-07-28,10715,DCBC
2015-07-29,10645,DCBC
2015-07-30,10632,DCBC
2015-07-31,10576,DCBC
2015-08-03,10379,DCBC
2015-08-04,10329,DCBC
2015-08-05,10483,DCBC
2015-08-06,10429,DCBC
2015-08-07,10502,DCBC
2015-08-10,10719,DCBC
2015-08-11,10683,DCBC
2015-08-12,10573,DCBC
2015-08-13,10459,DCBC
2015-08-14,10397,DCBC
2015-08-17,10163,DCBC
2015-08-18,10249,DCBC
2015-08-19,10294,DCBC
2015-08-20,10153,DCBC
2015-08-21,10031,DCBC
2015-08-24,9575,DCBC
2015-08-25,9600,DCBC
2015-08-26,9831,DCBC
2015-08-27,9884,DCBC
2015-08-28,10029,DCBC
2015-08-31,9928,DCBC
2015-09-01,9926,DCBC
2015-09-03,9806,DCBC
2015-09-04,9793,DCBC
2015-09-07,9761,DCBC
2015-09-08,9926,DCBC
2015-09-09,10024,DCBC
2015-09-10,10037,DCBC
2015-09-11,9968,DCBC
2015-09-14,9963,DCBC
2015-09-15,9967,DCBC
2015-09-16,9959,DCBC
2015-09-17,9943,DCBC
2015-09-18,10063,DCBC
2015-09-21,10203,DCBC
2015-09-22,10223,DCBC
2015-09-23,10231,DCBC
2015-09-24,10255,DCBC
2015-09-25,10247,DCBC
2015-09-28,10158,DCBC
2015-09-29,10092,DCBC
2015-09-30,10095,DCBC
2015-10-01,10112,DCBC
2015-10-02,10098,DCBC
2015-10-05,10223,DCBC
2015-10-06,10391,DCBC
2015-10-07,10308,DCBC
2015-10-08,10441,DCBC
2015-10-09,10406,DCBC
2015-10-12,10448,DCBC
2015-10-13,10460,DCBC
2015-10-14,10511,DCBC
2015-10-15,10558,DCBC
2015-10-16,10586,DCBC
2015-10-19,10673,DCBC
2015-10-20,10617,DCBC
2015-10-21,10584,DCBC
2015-10-22,10668,DCBC
2015-10-23,10769,DCBC
2015-10-26,10729,DCBC
2015-10-27,10747,DCBC
2015-10-28,10788,DCBC
2015-10-29,10942,DCBC
2015-10-30,10938,DCBC
2015-11-02,10808,DCBC
2015-11-03,11045,DCBC
2015-11-04,10994,DCBC
2015-11-05,11102,DCBC
2015-11-06,11067,DCBC
2015-11-09,10957,DCBC
2015-11-10,10869,DCBC
2015-11-11,10866,DCBC
2015-11-12,10990,DCBC
2015-11-13,11178,DCBC
2015-11-16,11202,DCBC
2015-11-17,11074,DCBC
2015-11-18,11066,DCBC
2015-11-19,11010,DCBC
2015-11-20,11029,DCBC
2015-11-23,10940,DCBC
2015-11-24,10768,DCBC
2015-11-25,10847,DCBC
2015-11-26,10727,DCBC
2015-11-27,10632,DCBC
2015-11-30,10525,DCBC
2015-12-01,10531,DCBC
2015-12-02,10596,DCBC
2015-12-03,10602,DCBC
2015-12-04,10548,DCBC
2015-12-07,10456,DCBC
2015-12-08,10688,DCBC
2015-12-09,10557,DCBC
2015-12-10,10485,DCBC
2015-12-11,10545,DCBC
2015-12-14,10545,DCBC
2015-12-15,10693,DCBC
2015-12-16,10763,DCBC
2015-12-17,10840,DCBC
2015-12-18,10736,DCBC
2015-12-21,10680,DCBC
2015-12-22,10599,DCBC
2015-12-23,10550,DCBC
2015-12-24,10576,DCBC
2015-12-25,10549,DCBC
2015-12-28,10591,DCBC
2015-12-29,10697,DCBC
2015-12-30,10733,DCBC
2015-12-31,10762,DCBC
2016-01-03,10761,DCBC
2016-01-04,10681,DCBC
2016-01-05,10594,DCBC
2016-01-06,10662,DCBC
2016-01-07,10474,DCBC
2016-01-08,10406,DCBC
2016-01-11,10334,DCBC
2016-01-12,10479,DCBC
2016-01-13,10448,DCBC
2016-01-14,10363,DCBC
2016-01-15,10239,DCBC
2016-01-18,10026,DCBC
2016-01-19,10166,DCBC
2016-01-20,10095,DCBC
2016-01-21,10040,DCBC
2016-01-22,10015,DCBC
2016-01-25,10295,DCBC
2016-01-26,10124,DCBC
2016-01-27,10214,DCBC
2016-01-28,10188,DCBC
2016-01-29,10262,DCBC
2016-01-31,10261,DCBC
2016-02-01,10205,DCBC
2016-02-02,10162,DCBC
2016-02-03,10203,DCBC
2016-02-04,10270,DCBC
2016-02-05,10313,DCBC
2016-02-14,10309,DCBC
2016-02-15,10297,DCBC
2016-02-16,10430,DCBC
2016-02-17,10482,DCBC
2016-02-18,10571,DCBC
2016-02-19,10573,DCBC
2016-02-22,10659,DCBC
2016-02-23,10623,DCBC
2016-02-24,10667,DCBC
2016-02-25,10580,DCBC
2016-02-26,10677,DCBC
2016-02-28,10676,DCBC
2016-02-29,10624,DCBC
2016-03-01,10692,DCBC
2016-03-02,10776,DCBC
2016-03-03,10781,DCBC
2016-03-04,10872,DCBC
2016-03-06,10871,DCBC
2016-03-07,10837,DCBC
2016-03-08,10792,DCBC
2016-03-09,10840,DCBC
2016-03-10,10918,DCBC
2016-03-11,10974,DCBC
2016-03-13,10973,DCBC
2016-03-14,10932,DCBC
2016-03-15,10907,DCBC
2016-03-16,10968,DCBC
2016-03-17,11017,DCBC
2016-03-18,11013,DCBC
2016-03-20,11012,DCBC
2016-03-21,10940,DCBC
2016-03-22,10894,DCBC
2016-03-23,10965,DCBC
2016-03-24,10958,DCBC
2016-03-25,10911,DCBC
2016-03-27,10909,DCBC
2016-03-28,10965,DCBC
2016-03-29,10897,DCBC
2016-03-30,10928,DCBC
