date,price,symbol
2014-03-25,10002,ENF
2014-03-31,10000,ENF
2014-04-03,9999,ENF
2014-04-10,10003,ENF
2014-04-17,9878,ENF
2014-04-24,9773,ENF
2014-04-30,9795,ENF
2014-05-01,9796,ENF
2014-05-08,9414,ENF
2014-05-15,9358,ENF
2014-05-22,9592,ENF
2014-05-29,9706,ENF
2014-05-31,9720,ENF
2014-06-05,9609,ENF
2014-06-12,9789,ENF
2014-06-19,9785,ENF
2014-06-26,9888,ENF
2014-06-30,9921,ENF
2014-07-03,10031,ENF
2014-07-10,10009,ENF
2014-07-17,10105,ENF
2014-07-24,10233,ENF
2014-07-31,10152,ENF
2014-08-07,10255,ENF
2014-08-14,10309,ENF
2014-08-21,10432,ENF
2014-08-28,10703,ENF
2014-08-31,10711,ENF
2014-09-04,10740,ENF
2014-09-11,10705,ENF
2014-09-18,10761,ENF
2014-09-25,10763,ENF
2014-09-30,10884,ENF
2014-10-02,11094,ENF
2014-10-09,11149,ENF
2014-10-16,10641,ENF
2014-10-23,10535,ENF
2014-10-30,10504,ENF
2014-10-31,10613,ENF
2014-11-06,10996,ENF
2014-11-13,11064,ENF
2014-11-20,10943,ENF
2014-11-27,10807,ENF
2014-11-30,10762,ENF
2014-12-04,10889,ENF
2014-12-11,10651,ENF
2014-12-18,10367,ENF
2014-12-25,10402,ENF
2014-12-31,10633,ENF
2015-01-01,10605,ENF
2015-01-08,10738,ENF
2015-01-15,10790,ENF
2015-01-22,10481,ENF
2015-01-29,10508,ENF
2015-01-31,10405,ENF
2015-02-05,10273,ENF
2015-02-12,10825,ENF
2015-02-19,10846,ENF
2015-02-26,10868,ENF
2015-02-28,10880,ENF
2015-03-05,10951,ENF
2015-03-12,10923,ENF
2015-03-19,10851,ENF
2015-03-26,10764,ENF
2015-03-31,10651,ENF
2015-04-02,10633,ENF
2015-04-09,10798,ENF
2015-04-16,10826,ENF
2015-04-23,10779,ENF
2015-04-30,10834,ENF
2015-05-07,10595,ENF
2015-05-14,10554,ENF
2015-05-21,10818,ENF
2015-05-28,10960,ENF
2015-05-31,10925,ENF
2015-06-04,11006,ENF
2015-06-11,11156,ENF
2015-06-18,11178,ENF
2015-06-25,11271,ENF
2015-06-30,11332,ENF
2015-07-02,11424,ENF
2015-07-09,11584,ENF
2015-07-16,11557,ENF
2015-07-23,11626,ENF
2015-07-30,11665,ENF
2015-07-31,11671,ENF
2015-08-06,11601,ENF
2015-08-13,11578,ENF
2015-08-20,11518,ENF
2015-08-27,11297,ENF
2015-08-31,11289,ENF
2015-09-03,11207,ENF
2015-09-10,11348,ENF
2015-09-17,11326,ENF
2015-09-24,11578,ENF
2015-09-30,11557,ENF
2015-10-01,11582,ENF
2015-10-08,11842,ENF
2015-10-15,11943,ENF
2015-10-22,11963,ENF
2015-10-29,12170,ENF
2015-10-31,12187,ENF
2015-11-05,12233,ENF
2015-11-12,12156,ENF
2015-11-19,12225,ENF
2015-11-26,12147,ENF
2015-11-30,11941,ENF
2015-12-03,12029,ENF
2015-12-10,11938,ENF
2015-12-17,12094,ENF
2015-12-24,11966,ENF
2015-12-31,12058,ENF
2016-01-07,11854,ENF
2016-01-14,11766,ENF
