date,price,symbol
2014-08-27,9993,VCBFBCF
2014-08-29,9995,VCBFBCF
2014-08-31,10007,VCBFBCF
2014-09-03,10008,VCBFBCF
2014-09-05,10012,VCBFBCF
2014-09-10,9994,VCBFBCF
2014-09-12,10002,VCBFBCF
2014-09-17,9987,VCBFBCF
2014-09-19,9993,VCBFBCF
2014-09-24,10026,VCBFBCF
2014-09-26,10012,VCBFBCF
2014-09-30,10019,VCBFBCF
2014-10-03,10029,VCBFBCF
2014-10-08,10023,VCBFBCF
2014-10-10,10063,VCBFBCF
2014-10-15,10022,VCBFBCF
2014-10-17,9926,VCBFBCF
2014-10-22,9986,VCBFBCF
2014-10-24,9984,VCBFBCF
2014-10-29,9864,VCBFBCF
2014-10-30,9914,VCBFBCF
2014-10-31,9973,VCBFBCF
2014-11-05,9976,VCBFBCF
2014-11-07,9973,VCBFBCF
2014-11-12,10011,VCBFBCF
2014-11-14,10003,VCBFBCF
2014-11-19,9977,VCBFBCF
2014-11-21,9915,VCBFBCF
2014-11-26,9878,VCBFBCF
2014-11-28,9799,VCBFBCF
2014-11-30,9765,VCBFBCF
2014-12-03,9783,VCBFBCF
2014-12-05,9910,VCBFBCF
2014-12-10,9614,VCBFBCF
2014-12-12,9672,VCBFBCF
2014-12-17,9535,VCBFBCF
2014-12-19,9447,VCBFBCF
2014-12-24,9542,VCBFBCF
2014-12-26,9537,VCBFBCF
2014-12-30,9529,VCBFBCF
2014-12-31,9651,VCBFBCF
2015-01-07,9604,VCBFBCF
2015-01-09,9619,VCBFBCF
2015-01-14,9778,VCBFBCF
2015-01-16,9807,VCBFBCF
2015-01-21,9766,VCBFBCF
2015-01-23,9761,VCBFBCF
2015-01-28,9821,VCBFBCF
2015-01-30,9869,VCBFBCF
2015-01-31,9769,VCBFBCF
2015-02-04,9616,VCBFBCF
2015-02-06,9679,VCBFBCF
2015-02-11,9727,VCBFBCF
2015-02-13,9829,VCBFBCF
2015-02-25,9847,VCBFBCF
2015-02-27,9850,VCBFBCF
2015-02-28,9810,VCBFBCF
2015-03-04,9926,VCBFBCF
2015-03-06,10011,VCBFBCF
2015-03-11,9983,VCBFBCF
2015-03-13,9950,VCBFBCF
2015-03-18,9911,VCBFBCF
2015-03-20,9861,VCBFBCF
2015-03-25,9700,VCBFBCF
2015-03-27,9699,VCBFBCF
2015-03-31,9620,VCBFBCF
2015-04-03,9674,VCBFBCF
2015-04-08,9803,VCBFBCF
2015-04-10,9812,VCBFBCF
2015-04-15,9815,VCBFBCF
2015-04-17,9970,VCBFBCF
2015-04-22,10032,VCBFBCF
2015-04-24,10060,VCBFBCF
2015-04-30,9992,VCBFBCF
2015-05-04,9990,VCBFBCF
2015-05-06,9800,VCBFBCF
2015-05-08,9825,VCBFBCF
2015-05-13,9666,VCBFBCF
2015-05-15,9750,VCBFBCF
2015-05-20,9606,VCBFBCF
2015-05-22,9833,VCBFBCF
2015-05-27,9890,VCBFBCF
