date,price,symbol
2014-07-08,10014,VEOF
2014-07-15,10009,VEOF
2014-07-22,10002,VEOF
2014-07-29,9995,VEOF
2014-07-31,9996,VEOF
2014-08-05,9996,VEOF
2014-08-12,10006,VEOF
2014-08-19,10026,VEOF
2014-08-26,9968,VEOF
2014-08-31,9973,VEOF
2014-09-02,9973,VEOF
2014-09-09,10007,VEOF
2014-09-16,10016,VEOF
2014-09-23,9992,VEOF
2014-09-30,9993,VEOF
2014-09-30,10083,VEOF
2014-10-07,10528,VEOF
2014-10-14,10572,VEOF
2014-10-21,10199,VEOF
2014-10-28,10081,VEOF
2014-10-31,10287,VEOF
2014-11-04,10283,VEOF
2014-11-11,10367,VEOF
2014-11-18,10223,VEOF
2014-11-25,10091,VEOF
2014-11-30,9978,VEOF
2014-12-02,9815,VEOF
2014-12-09,9800,VEOF
2014-12-16,9775,VEOF
2014-12-23,9432,VEOF
2014-12-30,9065,VEOF
2014-12-31,9403,VEOF
2015-01-06,9353,VEOF
2015-01-13,9512,VEOF
2015-01-20,9567,VEOF
2015-01-27,9627,VEOF
2015-01-31,9578,VEOF
2015-02-03,9548,VEOF
2015-02-10,9623,VEOF
2015-02-17,9847,VEOF
2015-02-24,9732,VEOF
2015-02-28,9725,VEOF
2015-03-03,9695,VEOF
2015-03-10,9871,VEOF
2015-03-17,9840,VEOF
2015-03-24,9667,VEOF
2015-03-31,9357,VEOF
2015-03-31,9431,VEOF
2015-04-07,9405,VEOF
2015-04-14,9607,VEOF
2015-04-21,9630,VEOF
2015-04-28,9456,VEOF
2015-04-30,9454,VEOF
2015-05-05,9238,VEOF
2015-05-12,9204,VEOF
2015-05-19,8824,VEOF
2015-05-26,9262,VEOF
2015-05-31,9282,VEOF
2015-06-02,9270,VEOF
2015-06-09,9463,VEOF
2015-06-16,9740,VEOF
2015-06-23,9767,VEOF
2015-06-30,9821,VEOF
2015-06-30,9765,VEOF
2015-07-07,10022,VEOF
2015-07-14,10100,VEOF
2015-07-21,9945,VEOF
2015-07-28,10293,VEOF
2015-07-31,10127,VEOF
2015-08-04,10011,VEOF
2015-08-11,10298,VEOF
2015-08-18,10082,VEOF
2015-08-25,9464,VEOF
2015-08-31,9874,VEOF
2015-09-08,9791,VEOF
2015-09-15,9884,VEOF
2015-09-22,10156,VEOF
2015-09-29,10241,VEOF
2015-09-30,10248,VEOF
2015-10-06,10347,VEOF
2015-10-13,10473,VEOF
2015-10-20,10558,VEOF
2015-10-27,10488,VEOF
2015-10-31,10705,VEOF
2015-11-03,10674,VEOF
2015-11-10,10663,VEOF
2015-11-17,10726,VEOF
2015-11-24,10639,VEOF
2015-11-30,10385,VEOF
2015-12-08,10332,VEOF
2015-12-15,10204,VEOF
2015-12-22,10328,VEOF
2015-12-29,10190,VEOF
2015-12-31,10323,VEOF
2016-01-05,10287,VEOF
2016-01-12,10073,VEOF
2016-01-19,9809,VEOF
2016-01-26,10127,VEOF
2016-01-31,10103,VEOF
2016-02-02,10109,VEOF
2016-02-09,10246,VEOF
2016-02-16,10258,VEOF
2016-02-23,10576,VEOF
2016-02-29,10540,VEOF
2016-03-08,10740,VEOF
2016-03-15,10806,VEOF
2016-03-22,10818,VEOF
2016-03-29,10882,VEOF
2016-03-31,10669,VEOF
2016-04-05,10643,VEOF
2016-04-12,11010,VEOF
2016-04-19,10811,VEOF
2016-04-26,10793,VEOF
2016-04-30,10742,VEOF
2016-05-03,10741,VEOF
2016-05-10,10736,VEOF
2016-05-17,10719,VEOF
2016-05-24,10702,VEOF
2016-05-31,10833,VEOF
2016-05-31,10885,VEOF
2016-06-07,10878,VEOF
2016-06-14,11031,VEOF
2016-06-21,11355,VEOF
2016-06-28,11407,VEOF
2016-06-30,11659,VEOF
2016-07-05,11880,VEOF
2016-07-12,12071,VEOF
2016-07-19,12217,VEOF
2016-07-26,11908,VEOF
2016-07-31,12019,VEOF
2016-08-02,11898,VEOF
2016-08-09,11540,VEOF
2016-08-16,11895,VEOF
2016-08-23,12014,VEOF
2016-08-30,12067,VEOF
2016-08-31,12355,VEOF
2016-09-06,12353,VEOF
2016-09-13,12607,VEOF
2016-09-20,12787,VEOF
2016-09-27,13106,VEOF
2016-09-30,13178,VEOF
2016-10-04,13223,VEOF
2016-10-06,13088,VEOF
2016-10-11,12665,VEOF
2016-10-13,12663,VEOF
2016-10-18,12670,VEOF
2016-10-20,12673,VEOF
2016-10-25,12287,VEOF
2016-10-27,12210,VEOF
2016-10-31,12253,VEOF
2016-11-03,12067,VEOF
2016-11-08,12170,VEOF
2016-11-10,12077,VEOF
2016-11-15,12056,VEOF
2016-11-17,12184,VEOF
2016-11-22,12069,VEOF
2016-11-24,12145,VEOF
2016-11-29,12001,VEOF
2016-11-30,12063,VEOF
2016-12-06,11942,VEOF
2016-12-08,11807,VEOF
2016-12-13,11671,VEOF
2016-12-15,11797,VEOF
2016-12-20,11947,VEOF
2016-12-22,11916,VEOF
2016-12-27,11867,VEOF
2016-12-29,11918,VEOF
2016-12-31,12046,VEOF
2017-01-03,12044,VEOF
2017-01-05,12214,VEOF
2017-01-10,12211,VEOF
2017-01-12,12301,VEOF
2017-01-17,12194,VEOF
2017-01-19,12103,VEOF
2017-01-24,12101,VEOF
2017-01-26,12283,VEOF
2017-01-31,12279,VEOF
2017-02-02,12278,VEOF
2017-02-07,12350,VEOF
2017-02-09,12446,VEOF
2017-02-14,12799,VEOF
2017-02-16,12824,VEOF
2017-02-21,12752,VEOF
2017-02-23,12726,VEOF
2017-02-28,12586,VEOF
2017-02-28,12510,VEOF
2017-03-02,12579,VEOF
2017-03-07,12837,VEOF
2017-03-09,12937,VEOF
2017-03-14,12795,VEOF
2017-03-16,12728,VEOF
2017-03-21,13063,VEOF
2017-03-23,12928,VEOF
2017-03-28,13008,VEOF
2017-03-30,12941,VEOF
2017-03-31,12943,VEOF
2017-04-04,12900,VEOF
2017-04-06,12869,VEOF
2017-04-11,12796,VEOF
2017-04-13,12798,VEOF
2017-04-18,12493,VEOF
2017-04-20,12610,VEOF
2017-04-25,12476,VEOF
2017-04-27,12538,VEOF
2017-04-30,12500,VEOF
2017-05-02,12499,VEOF
2017-05-04,12479,VEOF
2017-05-09,12526,VEOF
2017-05-11,12693,VEOF
2017-05-16,12782,VEOF
2017-05-18,12826,VEOF
2017-05-23,12764,VEOF
2017-05-25,12734,VEOF
2017-05-30,12932,VEOF
2017-05-31,12842,VEOF
2017-06-06,12919,VEOF
2017-06-08,13037,VEOF
2017-06-13,13147,VEOF
2017-06-15,13312,VEOF
2017-06-20,13469,VEOF
2017-06-22,13514,VEOF
2017-06-27,13474,VEOF
2017-06-29,13426,VEOF
2017-06-30,13546,VEOF
2017-07-04,13576,VEOF
2017-07-06,13621,VEOF
2017-07-11,13593,VEOF
2017-07-13,13575,VEOF
2017-07-18,13437,VEOF
2017-07-20,13303,VEOF
2017-07-25,12973,VEOF
2017-07-27,13180,VEOF
2017-07-31,13180,VEOF
2017-08-03,13180,VEOF
2017-08-08,13190,VEOF
2017-08-10,13079,VEOF
2017-08-15,13235,VEOF
2017-08-17,13284,VEOF
2017-08-22,13188,VEOF
2017-08-24,13187,VEOF
2017-08-29,13289,VEOF
2017-08-31,13272,VEOF
2017-08-31,13323,VEOF
2017-09-05,13356,VEOF
2017-09-07,13394,VEOF
2017-09-12,13180,VEOF
2017-09-14,13451,VEOF
2017-09-19,13506,VEOF
2017-09-21,13517,VEOF
2017-09-26,13519,VEOF
2017-09-28,13561,VEOF
2017-09-30,13647,VEOF
2017-10-03,13596,VEOF
2017-10-05,13624,VEOF
2017-10-10,13667,VEOF
2017-10-12,13731,VEOF
2017-10-17,13704,VEOF
2017-10-19,13708,VEOF
2017-10-24,13410,VEOF
2017-10-26,13453,VEOF
2017-10-31,13279,VEOF
2017-10-31,13202,VEOF
2017-11-02,13106,VEOF
2017-11-07,13324,VEOF
2017-11-09,13470,VEOF
2017-11-14,13594,VEOF
2017-11-16,13838,VEOF
2017-11-21,13868,VEOF
2017-11-23,14125,VEOF
2017-11-28,14292,VEOF
2017-11-30,14452,VEOF
2017-11-30,14642,VEOF
2017-12-05,14886,VEOF
2017-12-07,14492,VEOF
2017-12-12,14078,VEOF
2017-12-14,14021,VEOF
2017-12-19,14709,VEOF
2017-12-21,14810,VEOF
2017-12-26,14859,VEOF
2017-12-28,15029,VEOF
2017-12-31,15262,VEOF
2018-01-02,15262,VEOF
2018-01-04,15551,VEOF
2018-01-09,15821,VEOF
2018-01-11,16183,VEOF
2018-01-16,16529,VEOF
2018-01-18,16197,VEOF
2018-01-23,16927,VEOF
2018-01-25,17004,VEOF
2018-01-30,17299,VEOF
2018-01-31,17278,VEOF
2018-02-06,16339,VEOF
2018-02-08,16133,VEOF
2018-02-13,16166,VEOF
2018-02-15,16457,VEOF
2018-02-20,16452,VEOF
2018-02-22,16779,VEOF
2018-02-27,17099,VEOF
2018-02-28,17282,VEOF
2018-03-06,17013,VEOF
2018-03-08,17197,VEOF
2018-03-13,17416,VEOF
2018-03-15,17568,VEOF
2018-03-20,17790,VEOF
2018-03-22,17875,VEOF
2018-03-27,17834,VEOF
2018-03-29,17850,VEOF
2018-03-31,18026,VEOF
2018-04-03,18322,VEOF
2018-04-05,18293,VEOF
2018-04-10,18485,VEOF
2018-04-12,17852,VEOF
2018-04-17,17635,VEOF
2018-04-19,17515,VEOF
2018-04-24,16659,VEOF
2018-04-25,16681,VEOF
2018-04-30,16257,VEOF
2018-05-03,16016,VEOF
2018-05-08,16532,VEOF
2018-05-10,16491,VEOF
2018-05-15,16580,VEOF
2018-05-17,16391,VEOF
2018-05-22,15928,VEOF
2018-05-24,15645,VEOF
2018-05-29,14640,VEOF
2018-05-31,14939,VEOF
2018-05-31,15265,VEOF
2018-06-05,15848,VEOF
2018-06-07,16209,VEOF
2018-06-12,16266,VEOF
2018-06-14,16149,VEOF
2018-06-19,15546,VEOF
2018-06-21,15452,VEOF
2018-06-26,15604,VEOF
2018-06-28,15270,VEOF
2018-06-30,15065,VEOF
2018-07-03,14829,VEOF
2018-07-05,14356,VEOF
2018-07-10,14304,VEOF
2018-07-12,13994,VEOF
2018-07-17,14262,VEOF
2018-07-19,14667,VEOF
2018-07-24,14612,VEOF
2018-07-26,14454,VEOF
2018-07-31,14783,VEOF
2018-07-31,14859,VEOF
2018-08-02,14775,VEOF
2018-08-07,14843,VEOF
2018-08-09,14914,VEOF
2018-08-14,15093,VEOF
2018-08-16,14878,VEOF
2018-08-21,14936,VEOF
2018-08-23,15113,VEOF
2018-08-28,15263,VEOF
2018-08-30,15225,VEOF
2018-08-31,15231,VEOF
2018-09-06,14886,VEOF
2018-09-11,14889,VEOF
2018-09-13,15105,VEOF
2018-09-18,15138,VEOF
2018-09-20,15271,VEOF
2018-09-25,15636,VEOF
2018-09-27,15559,VEOF
2018-09-30,15659,VEOF
2018-10-02,15612,VEOF
2018-10-04,15628,VEOF
2018-10-09,15377,VEOF
2018-10-11,15364,VEOF
2018-10-16,14579,VEOF
2018-10-18,14850,VEOF
2018-10-23,14468,VEOF
2018-10-25,13920,VEOF
2018-10-30,13438,VEOF
2018-11-01,13933,VEOF
2018-11-06,14087,VEOF
2018-11-08,14001,VEOF
2018-11-13,13858,VEOF
2018-11-15,13571,VEOF
2018-11-20,13571,VEOF
2018-11-22,13826,VEOF
2018-11-27,13909,VEOF
2018-11-29,13960,VEOF
2018-12-01,13926,VEOF
2018-12-04,14305,VEOF
2018-12-06,14375,VEOF
2018-12-11,14318,VEOF
2018-12-13,14439,VEOF
2018-12-18,14011,VEOF
2018-12-20,13835,VEOF
2018-12-25,13651,VEOF
2018-12-27,13413,VEOF
2019-01-01,13524,VEOF
2019-01-03,13461,VEOF
2019-01-08,13442,VEOF
2019-01-10,13535,VEOF
2019-01-15,13581,VEOF
2019-01-22,13677,VEOF
2019-01-29,13643,VEOF
2019-01-31,13705,VEOF
2019-02-05,13650,VEOF
2019-02-07,13648,VEOF
2019-02-12,13854,VEOF
2019-02-14,14052,VEOF
2019-02-19,14235,VEOF
2019-02-21,14297,VEOF
2019-02-26,14657,VEOF
2019-02-28,14557,VEOF
2019-03-01,14233,VEOF
2019-03-05,14620,VEOF
2019-03-07,14639,VEOF
2019-03-12,14488,VEOF
2019-03-14,14797,VEOF
2019-03-19,14827,VEOF
2019-03-21,14665,VEOF
2019-03-26,14183,VEOF
2019-03-28,14296,VEOF
2019-04-02,14475,VEOF
2019-04-04,14469,VEOF
2019-04-09,14668,VEOF
2019-04-11,14428,VEOF
2019-04-16,14455,VEOF
2019-04-18,14324,VEOF
2019-04-23,14216,VEOF
2019-04-25,14371,VEOF
2019-04-30,14447,VEOF
2019-05-02,14447,VEOF
2019-05-07,14171,VEOF
2019-05-09,14071,VEOF
2019-05-14,14132,VEOF
2019-05-16,14354,VEOF
2019-05-21,14482,VEOF
2019-05-23,14440,VEOF
2019-05-28,14356,VEOF
2019-05-30,14292,VEOF
2019-06-04,13963,VEOF
2019-06-06,14019,VEOF
2019-06-11,14180,VEOF
2019-06-13,14070,VEOF
2019-06-18,13960,VEOF
2019-06-20,14021,VEOF
2019-06-25,14208,VEOF
2019-06-27,14147,VEOF
2019-07-02,14297,VEOF
2019-07-04,14244,VEOF
2019-07-09,14294,VEOF
2019-07-11,14412,VEOF
2019-07-16,14478,VEOF
2019-07-18,14600,VEOF
2019-07-23,14664,VEOF
2019-07-25,14737,VEOF
2019-07-30,14799,VEOF
2019-08-01,14730,VEOF
2019-08-06,14602,VEOF
2019-08-08,14567,VEOF
2019-08-13,14751,VEOF
2019-08-15,14731,VEOF
2019-08-22,15022,VEOF
2019-08-27,14843,VEOF
2019-08-29,14786,VEOF
2019-09-03,14882,VEOF
2019-09-13,14749,VEOF
2019-09-17,15184,VEOF
2019-09-19,15223,VEOF
2019-09-24,15165,VEOF
2019-09-26,15242,VEOF
2019-09-30,15409,VEOF
2019-10-03,15365,VEOF
2019-10-08,15137,VEOF
2019-10-10,15269,VEOF
2019-10-15,15380,VEOF
2019-10-17,15403,VEOF
2019-10-22,15217,VEOF
2019-10-24,15253,VEOF
2019-10-29,15396,VEOF
2019-10-30,15418,VEOF
2019-10-31,15369,VEOF
2019-11-05,15698,VEOF
2019-11-07,15746,VEOF
2019-11-12,15694,VEOF
2019-11-14,15599,VEOF
2019-11-19,15382,VEOF
2019-11-21,15378,VEOF
2019-11-26,14932,VEOF
2019-11-28,14963,VEOF
2019-12-03,14612,VEOF
2019-12-05,14738,VEOF
2019-12-10,14689,VEOF
2019-12-12,14722,VEOF
2019-12-17,14643,VEOF
2019-12-19,14437,VEOF
2019-12-24,14553,VEOF
2019-12-26,14594,VEOF
2019-12-31,14701,VEOF
2020-01-02,14625,VEOF
2020-01-07,14528,VEOF
2020-01-09,14381,VEOF
2020-01-14,14637,VEOF
2020-01-16,14661,VEOF
2020-01-21,14865,VEOF
2020-01-30,15044,VEOF
2020-02-04,14064,VEOF
2020-02-06,14030,VEOF
2020-02-11,14146,VEOF
2020-02-13,14354,VEOF
2020-02-18,14390,VEOF
2020-02-20,14424,VEOF
2020-02-25,13932,VEOF
2020-02-27,13973,VEOF
2020-03-03,13933,VEOF
2020-03-05,13983,VEOF
2020-03-10,13094,VEOF
2020-03-12,12762,VEOF
2020-03-17,11687,VEOF
2020-03-19,11771,VEOF
2020-03-24,10643,VEOF
2020-03-27,11021,VEOF
2020-03-31,10280,VEOF
