date,price,symbol
2017-05-01,10058,VESAF
2017-05-09,10093,VESAF
2017-05-16,10165,VESAF
2017-05-23,10254,VESAF
2017-05-30,10375,VESAF
2017-05-31,10324,VESAF
2017-06-06,10386,VESAF
2017-06-13,10564,VESAF
2017-06-20,10774,VESAF
2017-06-27,10943,VESAF
2017-06-30,10967,VESAF
2017-07-04,10974,VESAF
2017-07-11,10885,VESAF
2017-07-18,10788,VESAF
2017-07-25,10532,VESAF
2017-07-31,11005,VESAF
2017-08-08,11075,VESAF
2017-08-15,11030,VESAF
2017-08-22,10961,VESAF
2017-08-29,11127,VESAF
2017-08-31,11228,VESAF
2017-09-02,11214,VESAF
2017-09-12,11020,VESAF
2017-09-19,11303,VESAF
2017-09-26,11380,VESAF
2017-09-30,11364,VESAF
2017-10-03,11304,VESAF
2017-10-10,11405,VESAF
2017-10-17,11498,VESAF
2017-10-24,11156,VESAF
2017-10-31,11172,VESAF
2017-10-31,11083,VESAF
2017-11-07,11126,VESAF
2017-11-14,11247,VESAF
2017-11-21,11584,VESAF
2017-11-28,11871,VESAF
2017-11-30,12114,VESAF
2017-12-05,12251,VESAF
2017-12-12,11704,VESAF
2017-12-19,12090,VESAF
2017-12-26,12135,VESAF
2017-12-30,12353,VESAF
2017-12-31,12352,VESAF
2018-01-09,12802,VESAF
2018-01-16,13057,VESAF
2018-01-23,13284,VESAF
2018-01-30,13723,VESAF
2018-01-31,13833,VESAF
2018-02-06,13149,VESAF
2018-02-13,13306,VESAF
2018-02-20,13567,VESAF
2018-02-27,13860,VESAF
2018-02-28,14092,VESAF
2018-03-06,13993,VESAF
2018-03-13,14127,VESAF
2018-03-20,14377,VESAF
2018-03-27,14316,VESAF
2018-03-31,14504,VESAF
2018-04-03,14713,VESAF
2018-04-10,14862,VESAF
2018-04-17,14423,VESAF
2018-04-24,13671,VESAF
2018-04-30,13342,VESAF
2018-05-08,13653,VESAF
2018-05-15,13732,VESAF
2018-05-22,13564,VESAF
2018-05-29,12564,VESAF
2018-05-31,13087,VESAF
2018-06-05,13392,VESAF
2018-06-12,13740,VESAF
2018-06-19,13076,VESAF
2018-06-26,12995,VESAF
2018-06-30,12430,VESAF
2018-07-03,11978,VESAF
2018-07-10,11730,VESAF
2018-07-17,11809,VESAF
2018-07-24,11997,VESAF
2018-07-31,12163,VESAF
2018-07-31,12207,VESAF
2018-08-07,12035,VESAF
2018-08-14,12311,VESAF
2018-08-21,12225,VESAF
2018-08-28,12462,VESAF
2018-08-31,12518,VESAF
2018-09-11,12192,VESAF
2018-09-18,12295,VESAF
2018-09-25,12713,VESAF
2018-09-30,12790,VESAF
2018-10-02,12739,VESAF
2018-10-09,12764,VESAF
2018-10-16,12192,VESAF
2018-10-23,12098,VESAF
2018-10-30,11350,VESAF
2018-10-31,11718,VESAF
2018-11-06,11836,VESAF
2018-11-13,11583,VESAF
2018-11-20,11702,VESAF
2018-11-27,11621,VESAF
2018-11-30,11661,VESAF
2018-12-04,11985,VESAF
2018-12-11,11933,VESAF
2018-12-18,11691,VESAF
2018-12-25,11467,VESAF
2019-01-01,11409,VESAF
2019-01-08,11165,VESAF
2019-01-15,11205,VESAF
2019-01-22,11327,VESAF
2019-01-29,11265,VESAF
2019-01-31,11350,VESAF
2019-02-05,11325,VESAF
2019-02-12,11547,VESAF
2019-02-19,11687,VESAF
2019-02-26,11837,VESAF
2019-02-28,11662,VESAF
2019-03-05,11867,VESAF
2019-03-12,11821,VESAF
2019-03-19,12138,VESAF
2019-03-26,11686,VESAF
2019-03-31,11864,VESAF
2019-04-02,11882,VESAF
2019-04-09,12042,VESAF
2019-04-16,11927,VESAF
2019-04-23,11733,VESAF
2019-04-30,11992,VESAF
2019-05-07,11800,VESAF
2019-05-14,11847,VESAF
2019-05-21,13015,VESAF
2019-05-28,13746,VESAF
2019-05-31,13531,VESAF
2019-06-04,13420,VESAF
2019-06-11,11921,VESAF
2019-06-18,11775,VESAF
2019-06-25,11975,VESAF
2019-06-30,11968,VESAF
2019-07-02,12074,VESAF
2019-07-09,12034,VESAF
2019-07-16,12224,VESAF
2019-07-23,12337,VESAF
2019-07-30,12297,VESAF
2019-07-31,12221,VESAF
2019-08-06,12276,VESAF
2019-08-13,12602,VESAF
2019-08-20,12697,VESAF
2019-08-27,12729,VESAF
2019-08-30,12689,VESAF
2019-08-31,12688,VESAF
2019-09-10,12558,VESAF
2019-09-17,12995,VESAF
2019-09-24,12983,VESAF
2019-09-30,13106,VESAF
2019-10-08,12858,VESAF
2019-10-15,13100,VESAF
2019-10-22,12939,VESAF
2019-10-29,13110,VESAF
2019-10-31,13032,VESAF
2019-11-05,13187,VESAF
2019-11-12,13169,VESAF
2019-11-19,12902,VESAF
2019-11-26,12637,VESAF
2019-11-30,12542,VESAF
2019-12-03,12391,VESAF
2019-12-10,12502.02,VESAF
2019-12-17,12499.12,VESAF
2019-12-24,12344.42,VESAF
2019-12-31,12497.34,VESAF
2020-01-07,12385.26,VESAF
2020-01-14,12411.16,VESAF
2020-01-21,12586.01,VESAF
2020-02-04,11808.51,VESAF
2020-02-11,11845.61,VESAF
2020-02-18,12134.97,VESAF
2020-02-25,11707.81,VESAF
2020-02-29,11833.22,VESAF
2020-03-03,11889.68,VESAF
2020-03-10,11192.25,VESAF
2020-03-17,10091.24,VESAF
2020-03-24,9483.46,VESAF
2020-03-31,9053.08,VESAF
2020-04-07,9870.28,VESAF
2020-04-14,10003.13,VESAF
2020-04-21,10454.07,VESAF
2020-04-28,10347.99,VESAF
2020-05-05,10321.07,VESAF
2020-05-12,10792.47,VESAF
2020-05-19,10969.49,VESAF
2020-05-26,11099.98,VESAF
2020-06-02,11261.27,VESAF
2020-06-09,11613.48,VESAF
2020-06-16,10968.62,VESAF
2020-06-23,11342.46,VESAF
2020-06-30,10966.71,VESAF
2020-07-07,11278.62,VESAF
2020-07-14,11416.57,VESAF
2020-07-21,11474.22,VESAF
2020-07-28,10512.34,VESAF
2020-08-04,11010.27,VESAF
2020-08-11,11289.08,VESAF
2020-08-18,11547.45,VESAF
2020-08-25,11990.42,VESAF
2020-09-01,12155.42,VESAF
2020-09-08,12088.04,VESAF
2020-09-15,12393.52,VESAF
2020-09-22,12667.86,VESAF
2020-09-29,12848.74,VESAF
2020-10-06,13016.03,VESAF
2020-10-13,12960.73,VESAF
2020-10-20,13211.94,VESAF
2020-10-27,13200.78,VESAF
2020-11-03,13013.41,VESAF
2020-11-10,13368.31,VESAF
2020-11-17,13597.28,VESAF
2020-11-24,14133.12,VESAF
2020-12-01,14349.84,VESAF
2020-12-08,14521.04,VESAF
2020-12-15,14879.95,VESAF
2020-12-22,15265.45,VESAF
2020-12-29,15364.78,VESAF
2021-01-05,16015.03,VESAF
2021-01-12,16832.98,VESAF
2021-01-19,17248.71,VESAF
2021-01-26,17222.75,VESAF
2021-02-02,15445.52,VESAF
2021-02-09,16411.38,VESAF
2021-02-23,17805.66,VESAF
2021-03-02,18066.97,VESAF
2021-03-09,17882.86,VESAF
2021-03-16,18294.26,VESAF
2021-03-23,18518.92,VESAF
2021-03-30,18024.05,VESAF
2021-04-06,18574.34,VESAF
2021-04-13,18887.99,VESAF
2021-04-20,18640.68,VESAF
2021-04-27,18267.81,VESAF
2021-05-04,18677.81,VESAF
2021-05-11,19437.96,VESAF
2021-05-18,19619.26,VESAF
2021-05-25,20505.62,VESAF
2021-06-01,21319.05,VESAF
2021-06-08,21580.88,VESAF
2021-06-15,21875.66,VESAF
2021-06-22,22301.34,VESAF
2021-06-29,22688,VESAF
2021-07-01,22652.15,VESAF
2021-07-06,22989.39,VESAF
2021-07-13,21249.883,VESAF
2021-07-20,20745.14,VESAF
2021-07-27,21695.85,VESAF
2021-08-03,22450.48,VESAF
2021-08-10,23477.65,VESAF
2021-08-17,23935.69,VESAF
2021-08-24,22688.32,VESAF
2021-08-31,23742.91,VESAF
