date,price
2017-01-13,10000000
2017-01-14,10000000
2017-01-15,10000000
2017-01-16,10000000
2017-01-17,10000000
2017-01-18,10000000
2017-01-19,10000000
2017-01-20,9961815.289
2017-01-21,9961815.289
2017-01-22,9961815.289
2017-01-23,9961815.289
2017-01-24,9961815.289
2017-01-25,9961815.289
2017-01-26,9961815.289
2017-01-27,9976796.371
2017-01-28,9976796.371
2017-01-29,9976796.371
2017-01-30,9976796.371
2017-01-31,9976796.371
2017-02-01,9976796.371
2017-02-02,9976796.371
2017-02-03,10086409.5
2017-02-04,10086409.5
2017-02-05,10086409.5
2017-02-06,10086409.5
2017-02-07,10086409.5
2017-02-08,10086409.5
2017-02-09,10086409.5
2017-02-10,10208697.42
2017-02-11,10208697.42
2017-02-12,10208697.42
2017-02-13,10208697.42
2017-02-14,10208697.42
2017-02-15,10208697.42
2017-02-16,10208697.42
2017-02-17,10326198.44
2017-02-18,10326198.44
2017-02-19,10326198.44
2017-02-20,10326198.44
2017-02-21,10326198.44
2017-02-22,10326198.44
2017-02-23,10326198.44
2017-02-24,10312925.86
2017-02-25,10312925.86
2017-02-26,10312925.86
2017-02-27,10312925.86
2017-02-28,10312925.86
2017-03-01,10278008.67
2017-03-02,10278008.67
2017-03-03,10278008.67
2017-03-04,10278008.67
2017-03-05,10278008.67
2017-03-06,10278008.67
2017-03-07,10278008.67
2017-03-08,10378116.24
2017-03-09,10378116.24
2017-03-10,10378116.24
2017-03-11,10378116.24
2017-03-12,10378116.24
2017-03-13,10378116.24
2017-03-14,10378116.24
2017-03-15,10377150.01
2017-03-16,10377150.01
2017-03-17,10377150.01
2017-03-18,10377150.01
2017-03-19,10377150.01
2017-03-20,10377150.01
2017-03-21,10377150.01
2017-03-22,10464255.55
2017-03-23,10464255.55
2017-03-24,10464255.55
2017-03-25,10464255.55
2017-03-26,10464255.55
2017-03-27,10464255.55
2017-03-28,10464255.55
2017-03-29,10549838.85
2017-03-30,10549838.85
2017-03-31,10549838.85
2017-04-01,10549838.85
2017-04-02,10549838.85
2017-04-03,10549838.85
2017-04-04,10549838.85
2017-04-05,10620342.48
2017-04-06,10620342.48
2017-04-07,10620342.48
2017-04-08,10620342.48
2017-04-09,10620342.48
2017-04-10,10620342.48
2017-04-11,10620342.48
2017-04-12,10623356.73
2017-04-13,10623356.73
2017-04-14,10623356.73
2017-04-15,10623356.73
2017-04-16,10623356.73
2017-04-17,10623356.73
2017-04-18,10623356.73
2017-04-19,10523214.61
2017-04-20,10523214.61
2017-04-21,10523214.61
2017-04-22,10523214.61
2017-04-23,10523214.61
2017-04-24,10523214.61
2017-04-25,10523214.61
2017-04-26,10495963.33
2017-04-27,10495963.33
2017-04-28,10495963.33
2017-04-29,10495963.33
2017-04-30,10495963.33
2017-05-01,10495963.33
2017-05-02,10495963.33
2017-05-03,10645787.02
2017-05-04,10645787.02
2017-05-05,10645787.02
2017-05-06,10645787.02
2017-05-07,10645787.02
2017-05-08,10645787.02
2017-05-09,10645787.02
2017-05-10,10746737.88
2017-05-11,10746737.88
2017-05-12,10746737.88
2017-05-13,10746737.88
2017-05-14,10746737.88
2017-05-15,10746737.88
2017-05-16,10746737.88
2017-05-17,10815527.11
2017-05-18,10815527.11
2017-05-19,10815527.11
2017-05-20,10815527.11
2017-05-21,10815527.11
