date,price
2017-01-13,10000000
2017-01-14,10000000
2017-01-15,10000000
2017-01-16,10000000
2017-01-17,10000000
2017-01-18,10000000
2017-01-19,10000000
2017-01-20,9927157.718
2017-01-21,9927157.718
2017-01-22,9927157.718
2017-01-23,9927157.718
2017-01-24,9927157.718
2017-01-25,9927157.718
2017-01-26,9927157.718
2017-01-27,9937660.752
2017-01-28,9937660.752
2017-01-29,9937660.752
2017-01-30,9937660.752
2017-01-31,9937660.752
2017-02-01,9937660.752
2017-02-02,9937660.752
2017-02-03,10073235.11
2017-02-04,10073235.11
2017-02-05,10073235.11
2017-02-06,10073235.11
2017-02-07,10073235.11
2017-02-08,10073235.11
2017-02-09,10073235.11
2017-02-10,10226040.39
2017-02-11,10226040.39
2017-02-12,10226040.39
2017-02-13,10226040.39
2017-02-14,10226040.39
2017-02-15,10226040.39
2017-02-16,10226040.39
2017-02-17,10364885.49
2017-02-18,10364885.49
2017-02-19,10364885.49
2017-02-20,10364885.49
2017-02-21,10364885.49
2017-02-22,10364885.49
2017-02-23,10364885.49
2017-02-24,10327704.67
2017-02-25,10327704.67
2017-02-26,10327704.67
2017-02-27,10327704.67
2017-02-28,10327704.67
2017-03-01,10278362.1
2017-03-02,10278362.1
2017-03-03,10278362.1
2017-03-04,10278362.1
2017-03-05,10278362.1
2017-03-06,10278362.1
2017-03-07,10278362.1
2017-03-08,10398914.9
2017-03-09,10398914.9
2017-03-10,10398914.9
2017-03-11,10398914.9
2017-03-12,10398914.9
2017-03-13,10398914.9
2017-03-14,10398914.9
2017-03-15,10395710.31
2017-03-16,10395710.31
2017-03-17,10395710.31
2017-03-18,10395710.31
2017-03-19,10395710.31
2017-03-20,10395710.31
2017-03-21,10395710.31
2017-03-22,10491966.33
2017-03-23,10491966.33
2017-03-24,10491966.33
2017-03-25,10491966.33
2017-03-26,10491966.33
2017-03-27,10491966.33
2017-03-28,10491966.33
2017-03-29,10603028.23
2017-03-30,10603028.23
2017-03-31,10603028.23
2017-04-01,10603028.23
2017-04-02,10603028.23
2017-04-03,10603028.23
2017-04-04,10603028.23
2017-04-05,10694616.16
2017-04-06,10694616.16
2017-04-07,10694616.16
2017-04-08,10694616.16
2017-04-09,10694616.16
2017-04-10,10694616.16
2017-04-11,10694616.16
2017-04-12,10694367.1
2017-04-13,10694367.1
2017-04-14,10694367.1
2017-04-15,10694367.1
2017-04-16,10694367.1
2017-04-17,10694367.1
2017-04-18,10694367.1
2017-04-19,10562087.27
2017-04-20,10562087.27
2017-04-21,10562087.27
2017-04-22,10562087.27
2017-04-23,10562087.27
2017-04-24,10562087.27
2017-04-25,10562087.27
2017-04-26,10517410.93
2017-04-27,10517410.93
2017-04-28,10517410.93
2017-04-29,10517410.93
2017-04-30,10517410.93
2017-05-01,10517410.93
2017-05-02,10517410.93
2017-05-03,10697433.69
2017-05-04,10697433.69
2017-05-05,10697433.69
2017-05-06,10697433.69
2017-05-07,10697433.69
2017-05-08,10697433.69
2017-05-09,10697433.69
2017-05-10,10818627.2
2017-05-11,10818627.2
2017-05-12,10818627.2
2017-05-13,10818627.2
2017-05-14,10818627.2
2017-05-15,10818627.2
2017-05-16,10818627.2
2017-05-17,10905524.57
2017-05-18,10905524.57
2017-05-19,10905524.57
2017-05-20,10905524.57
2017-05-21,10905524.57
