date,price
2017-01-13,10000000
2017-01-14,10000000
2017-01-15,10000000
2017-01-16,10000000
2017-01-17,10000000
2017-01-18,10000000
2017-01-19,10000000
2017-01-20,9997788.418
2017-01-21,9997788.418
2017-01-22,9997788.418
2017-01-23,9997788.418
2017-01-24,9997788.418
2017-01-25,9997788.418
2017-01-26,9997788.418
2017-01-27,10023843.02
2017-01-28,10023843.02
2017-01-29,10023843.02
2017-01-30,10023843.02
2017-01-31,10023843.02
2017-02-01,10023843.02
2017-02-02,10023843.02
2017-02-03,10116417.92
2017-02-04,10116417.92
2017-02-05,10116417.92
2017-02-06,10116417.92
2017-02-07,10116417.92
2017-02-08,10116417.92
2017-02-09,10116417.92
2017-02-10,10185305.3
2017-02-11,10185305.3
2017-02-12,10185305.3
2017-02-13,10185305.3
2017-02-14,10185305.3
2017-02-15,10185305.3
2017-02-16,10185305.3
2017-02-17,10266078.2
2017-02-18,10266078.2
2017-02-19,10266078.2
2017-02-20,10266078.2
2017-02-21,10266078.2
2017-02-22,10266078.2
2017-02-23,10266078.2
2017-02-24,10275930.37
2017-02-25,10275930.37
2017-02-26,10275930.37
2017-02-27,10275930.37
2017-02-28,10275930.37
2017-03-01,10262981.68
2017-03-02,10262981.68
2017-03-03,10262981.68
2017-03-04,10262981.68
2017-03-05,10262981.68
2017-03-06,10262981.68
2017-03-07,10262981.68
2017-03-08,10345301.02
2017-03-09,10345301.02
2017-03-10,10345301.02
2017-03-11,10345301.02
2017-03-12,10345301.02
2017-03-13,10345301.02
2017-03-14,10345301.02
2017-03-15,10349600.07
2017-03-16,10349600.07
2017-03-17,10349600.07
2017-03-18,10349600.07
2017-03-19,10349600.07
2017-03-20,10349600.07
2017-03-21,10349600.07
2017-03-22,10419716.45
2017-03-23,10419716.45
2017-03-24,10419716.45
2017-03-25,10419716.45
2017-03-26,10419716.45
2017-03-27,10419716.45
2017-03-28,10419716.45
2017-03-29,10482464.63
2017-03-30,10482464.63
2017-03-31,10482464.63
2017-04-01,10482464.63
2017-04-02,10482464.63
2017-04-03,10482464.63
2017-04-04,10482464.63
2017-04-05,10519692.48
2017-04-06,10519692.48
2017-04-07,10519692.48
2017-04-08,10519692.48
2017-04-09,10519692.48
2017-04-10,10519692.48
2017-04-11,10519692.48
2017-04-12,10524850.07
2017-04-13,10524850.07
2017-04-14,10524850.07
2017-04-15,10524850.07
2017-04-16,10524850.07
2017-04-17,10524850.07
2017-04-18,10524850.07
2017-04-19,10467439.62
2017-04-20,10467439.62
2017-04-21,10467439.62
2017-04-22,10467439.62
2017-04-23,10467439.62
2017-04-24,10467439.62
2017-04-25,10467439.62
2017-04-26,10465960.74
2017-04-27,10465960.74
2017-04-28,10465960.74
2017-04-29,10465960.74
2017-04-30,10465960.74
2017-05-01,10465960.74
2017-05-02,10465960.74
2017-05-03,10568690.11
2017-05-04,10568690.11
2017-05-05,10568690.11
2017-05-06,10568690.11
2017-05-07,10568690.11
2017-05-08,10568690.11
2017-05-09,10568690.11
2017-05-10,10640972.75
2017-05-11,10640972.75
2017-05-12,10640972.75
2017-05-13,10640972.75
2017-05-14,10640972.75
2017-05-15,10640972.75
2017-05-16,10640972.75
2017-05-17,10681456.52
2017-05-18,10681456.52
2017-05-19,10681456.52
2017-05-20,10681456.52
2017-05-21,10681456.52
